date;Tusa, de KAROL G;Amarillo, de J Balvin;Safaera, de Bad Bunny;Rojo, de J Balvin;La Difícil, de Bad Bunny;Yo Perreo Sola, de Bad Bunny;Dime Bbsita, de Robledo;Morado, de J Balvin;Diosa, de Myke Towers;Mil Tequilas, de Chema Rivas;Azul, de J Balvin;4 besos,de Lola Indigo;Tattoo, de Rauw Alejandro;Ignorantes, de Bad Bunny;Sola & Vacía, de Casper Magico;Gris, de J Balvin;Keii, Anuel AA;Rosa, de J Balvin;Una Mala (Remix), de El Completo Rd;Medusa, de Jhay Cortez
2020-03-14;1;;10;5;2;34;;8;4;102;;;3;6;;;7;;38;9
2020-03-15;1;;10;5;2;33;;8;4;99;;;3;6;;;7;;39;9
2020-03-16;1;;10;5;2;33;;7;4;101;;;3;6;;;8;;28;9
2020-03-17;1;;8;4;2;34;;6;5;98;;;3;7;;;10;;21;9
2020-03-18;1;;6;4;2;33;;7;5;97;;;3;8;;;9;;21;10
2020-03-19;1;;6;4;2;32;;7;5;95;;;3;8;;;9;;20;10
2020-03-20;4;1.0;10;2;7;36;;3;11;101;5.0;;9;15;;6.0;16;8.0;26;18
2020-03-21;3;1.0;7;2;5;38;;4;9;98;10.0;;6;13;;8.0;12;11.0;25;14
2020-03-22;3;1.0;7;2;5;37;;4;9;88;10.0;;6;14;;8.0;11;13.0;22;12
2020-03-23;3;1.0;6;2;5;35;;4;8;81;13.0;;7;12;;9.0;10;14.0;21;11
2020-03-24;3;1.0;5;2;6;36;;4;8;64;13.0;;7;12;;9.0;10;15.0;18;11
2020-03-25;3;1.0;4;2;6;38;;5;8;51;15.0;;7;12;;9.0;10;20.0;16;11
2020-03-26;3;1.0;4;2;6;38;;5;8;51;16.0;;7;12;;9.0;10;23.0;14;11
2020-03-27;3;1.0;2;4;5;29;;6;8;57;16.0;14.0;7;13;;9.0;10;27.0;15;11
2020-03-28;2;3.0;1;4;5;8;;6;9;54;18.0;15.0;7;11;;12.0;10;32.0;14;13
2020-03-29;2;3.0;1;4;5;6;;8;9;50;18.0;10.0;7;11;;13.0;12;32.0;14;15
2020-03-30;4;2.0;1;3;6;5;;8;10;45;18.0;9.0;7;11;;14.0;13;32.0;12;15
2020-03-31;5;2.0;1;4;6;3;;8;10;37;17.0;9.0;7;12;;14.0;13;33.0;11;15
2020-04-01;5;2.0;1;4;6;3;;9;10;35;17.0;8.0;7;13;;14.0;12;37.0;11;15
2020-04-02;4;2.0;1;5;6;3;;9;10;36;17.0;8.0;7;13;;15.0;12;42.0;11;14
2020-04-03;2;4.0;1;5;7;3;;9;10;40;19.0;8.0;6;14;;17.0;13;53.0;12;15
2020-04-04;2;4.0;1;5;7;3;;9;10;38;19.0;8.0;6;14;;18.0;12;53.0;11;17
2020-04-05;2;4.0;1;5;7;3;;9;10;34;20.0;8.0;6;14;;18.0;12;56.0;11;16
2020-04-06;4;3.0;1;5;7;2;;9;11;28;19.0;8.0;6;15;;18.0;12;57.0;10;17
2020-04-07;4;2.0;1;5;8;3;;10;12;20;23.0;7.0;6;15;;17.0;14;58.0;9;18
2020-04-08;4;2.0;1;5;8;3;;10;12;18;22.0;7.0;6;16;;17.0;14;61.0;9;19
2020-04-09;3;2.0;1;5;9;4;7.0;11;13;17;26.0;8.0;6;18;;19.0;15;65.0;10;20
2020-04-10;4;2.0;1;5;9;3;6.0;11;13;16;27.0;8.0;7;21;;20.0;17;74.0;10;22
2020-04-11;3;2.0;1;5;9;4;6.0;11;13;14;26.0;8.0;7;21;;20.0;18;76.0;10;22
2020-04-12;3;2.0;1;6;9;4;5.0;11;13;15;27.0;8.0;7;22;;20.0;19;78.0;10;21
2020-04-13;5;2.0;1;6;9;4;3.0;11;14;12;25.0;8.0;7;22;;21.0;18;75.0;10;23
2020-04-14;5;3.0;1;6;9;4;2.0;12;15;11;28.0;8.0;7;24;;22.0;20;81.0;10;26
2020-04-15;5;3.0;1;6;9;4;2.0;12;15;11;30.0;8.0;7;23;;22.0;21;86.0;10;26
2020-04-16;5;2.0;1;6;9;4;3.0;12;15;10;30.0;7.0;8;25;;23.0;21;84.0;11;27
2020-04-17;5;3.0;1;9;12;4;2.0;14;16;8;31.0;6.0;7;27;10.0;23.0;22;94.0;11;33
2020-04-18;4;2.0;1;10;12;5;3.0;14;15;6;32.0;8.0;7;28;9.0;24.0;25;96.0;11;41
2020-04-19;4;3.0;1;10;13;5;2.0;14;15;6;32.0;9.0;8;27;7.0;24.0;25;95.0;11;41
2020-04-20;4;3.0;1;10;13;6;2.0;14;18;5;33.0;7.0;9;27;8.0;24.0;26;92.0;12;41
