date;Physical, de Dua Lipa;Atrévete, de Yago Roche;Roses - Imanbek Remix, de SAINt JHN;Mil tequilas, de Chema Rivas;PORFA, de Feid;Death bed (coffee for your head), Powfu;Resistiré, de Dúo Dinámico;Resistiré, Versión 2020
2020-03-14;127.0;120;170;102;140;;;
2020-03-15;127.0;126;156;99;148;182.0;;
2020-03-16;84.0;129;136;101;145;164.0;187.0;
2020-03-17;107.0;127;136;98;148;167.0;129.0;
2020-03-18;;124;130;97;146;160.0;88.0;
2020-03-19;110.0;121;116;95;156;141.0;61.0;
2020-03-20;149.0;124;113;101;165;156.0;62.0;
2020-03-21;131.0;119;110;98;159;151.0;59.0;
2020-03-22;119.0;115;102;88;149;145.0;59.0;
2020-03-23;83.0;117;79;81;148;137.0;90.0;
2020-03-24;106.0;99;79;64;154;126.0;73.0;
2020-03-25;105.0;68;66;51;151;99.0;57.0;
2020-03-26;84.0;68;65;51;156;93.0;59.0;
2020-03-27;37.0;71;67;57;162;102.0;62.0;
2020-03-28;40.0;69;67;54;171;104.0;57.0;
2020-03-29;41.0;66;65;50;161;93.0;59.0;
2020-03-30;38.0;65;53;45;155;72.0;100.0;
2020-03-31;43.0;61;48;37;159;55.0;110.0;
2020-04-01;41.0;66;43;35;73;62.0;65.0;
2020-04-02;48.0;63;35;36;50;55.0;69.0;
2020-04-03;52.0;70;39;40;54;65.0;73.0;112.0
2020-04-04;52.0;64;41;38;47;66.0;70.0;114.0
2020-04-05;55.0;65;40;34;43;61.0;87.0;93.0
2020-04-06;55.0;61;37;28;34;62.0;125.0;82.0
2020-04-07;56.0;60;39;20;25;62.0;127.0;69.0
2020-04-08;53.0;60;40;18;25;66.0;144.0;58.0
2020-04-09;57.0;60;37;17;24;62.0;128.0;61.0
2020-04-10;57.0;61;40;16;19;65.0;156.0;64.0
2020-04-11;58.0;52;36;14;15;65.0;153.0;64.0
2020-04-12;60.0;51;37;15;14;61.0;154.0;62.0
2020-04-13;55.0;52;35;12;15;57.0;186.0;54.0
2020-04-14;55.0;54;34;11;14;57.0;;52.0
2020-04-15;57.0;53;34;11;14;55.0;;54.0
2020-04-16;60.0;53;34;10;13;55.0;;54.0
2020-04-17;64.0;56;37;8;13;52.0;;53.0
2020-04-18;62.0;53;40;6;13;52.0;;49.0
2020-04-19;67.0;55;40;6;12;49.0;;47.0
2020-04-20;64.0;50;31;5;11;47.0;;53.0
