date;Resistiré, de Dúo Dinámico;Resistiré Versión 2020;Aves Enjauladas, de Rozalén;Un canto a la vida, de Vanesa M. y David S.
2020-03-16;33821.0;;;
2020-03-17;47518.0;;;
2020-03-18;62882.0;;;
2020-03-19;74992.0;;;
2020-03-20;74144.0;;;
2020-03-21;78710.0;;;
2020-03-22;73473.0;;;
2020-03-23;61054.0;;;
2020-03-24;69367.0;;;
2020-03-25;83636.0;;;
2020-03-26;81328.0;;;
2020-03-27;80701.0;;;
2020-03-28;84805.0;;;
2020-03-29;73385.0;;;
2020-03-30;53466.0;;;
2020-03-31;49324.0;;;
2020-04-01;72686.0;;;
2020-04-02;70522.0;;;
2020-04-03;67820.0;51944.0;;37921.0
2020-04-04;68439.0;50954.0;;
2020-04-05;59491.0;55261.0;;
2020-04-06;46756.0;62670.0;;
2020-04-07;46131.0;68688.0;;
2020-04-08;44664.0;82320.0;;
2020-04-09;44526.0;73002.0;;
2020-04-10;40583.0;73017.0;;36632.0
2020-04-11;40975.0;72967.0;;
2020-04-12;38542.0;71409.0;;
2020-04-13;33520.0;77275.0;;
2020-04-14;;94856.0;;34384.0
2020-04-15;;86189.0;;
2020-04-16;;86836.0;;
2020-04-17;;93951.0;46956.0;
2020-04-18;;101647.0;;
2020-04-19;;94606.0;;
2020-04-20;;95417.0;;
2020-04-21;;85367.0;;
2020-04-22;;82569.0;;
2020-04-23;;88985.0;;
2020-04-24;;82718.0;;
2020-04-25;;83550.0;;
2020-04-26;;72909.0;;
2020-04-27;;64599.0;;
