date;Resistiré, de Dúo Dinámico;Resistiré, Versión 2020;Safaera, de Bad Bunny;Tusa, de Karol G;Me Gusta, de Shakira;+, de Aitana;Como Panas, de Bryant Myers
2020-03-14;;;10;1;12;28;41
2020-03-15;;;10;1;12;26;40
2020-03-16;187.0;;10;1;15;26;42
2020-03-17;129.0;;8;1;14;24;42
2020-03-18;88.0;;6;1;14;25;43
2020-03-19;61.0;;6;1;13;25;43
2020-03-20;62.0;;10;4;22;34;46
2020-03-21;59.0;;7;3;21;34;46
2020-03-22;59.0;;7;3;21;34;45
2020-03-23;90.0;;6;3;22;32;45
2020-03-24;73.0;;5;3;21;31;46
2020-03-25;57.0;;4;3;22;30;44
2020-03-26;59.0;;4;3;21;30;44
2020-03-27;62.0;;2;3;24;38;49
2020-03-28;57.0;;1;2;21;33;49
2020-03-29;59.0;;1;2;21;33;48
2020-03-30;100.0;;1;4;24;33;48
2020-03-31;110.0;;1;5;25;32;49
2020-04-01;65.0;;1;5;25;33;50
2020-04-02;69.0;;1;4;25;33;52
2020-04-03;73.0;112.0;1;2;23;36;58
2020-04-04;70.0;114.0;1;2;23;37;57
2020-04-05;87.0;93.0;1;2;23;37;52
2020-04-06;125.0;82.0;1;4;23;40;52
2020-04-07;127.0;69.0;1;4;26;36;54
2020-04-08;144.0;58.0;1;4;26;38;56
2020-04-09;128.0;61.0;1;3;27;36;56
2020-04-10;156.0;64.0;1;4;29;39;59
2020-04-11;153.0;64.0;1;3;27;39;55
2020-04-12;154.0;62.0;1;3;28;36;56
2020-04-13;186.0;54.0;1;5;33;37;66
2020-04-14;;52.0;1;5;41;38;72
2020-04-15;;54.0;1;5;42;39;74
2020-04-16;;54.0;1;5;43;38;78
2020-04-17;;53.0;1;5;47;40;84
2020-04-18;;49.0;1;4;46;37;83
2020-04-19;;47.0;1;4;48;33;79
2020-04-20;;53.0;1;4;52;39;85
2020-04-21;;54.0;1;5;51;44;85
2020-04-22;;56.0;1;5;52;44;83
2020-04-23;;52.0;1;5;51;43;91
2020-04-24;;63.0;1;6;57;48;110
2020-04-25;;60.0;1;4;56;45;111
2020-04-26;;63.0;1;6;56;46;110
2020-04-27;;75.0;3;8;56;45;104
