date;Resistiré, de Dúo Dinámico;Resistiré, Versión 2020;Safaera, de Bad Bunny;Tusa, de Karol G;Me Gusta, de Shakira;+, de Aitana;Como Panas, de Bryant Myers
2020-03-14;;;242696;446086;203951;133834;106404
2020-03-15;;;233770;438199;190009;127822;105712
2020-03-16;33821.0;;263040;474411;192528;136816;111118
2020-03-17;47518.0;;278924;495344;196743;146117;111753
2020-03-18;62882.0;;300422;489980;197888;143633;113347
2020-03-19;74992.0;;311785;477226;194502;140582;109961
2020-03-20;74144.0;;333950;459133;181199;132976;105586
2020-03-21;78710.0;;319880;448760;177554;128971;100770
2020-03-22;73473.0;;304554;399280;158257;118882;97972
2020-03-23;61054.0;;342430;403767;167908;130405;106323
2020-03-24;69367.0;;345323;402866;167717;130145;105794
2020-03-25;83636.0;;356434;399617;166827;129034;105517
2020-03-26;81328.0;;373465;398745;167459;131534;106668
2020-03-27;80701.0;;393293;390616;163223;122854;101462
2020-03-28;84805.0;;437464;408893;174979;127564;99474
2020-03-29;73385.0;;415070;357763;156567;119212;93775
2020-03-30;53466.0;;415544;334052;146340;117777;94186
2020-03-31;49324.0;;407278;325492;142819;114744;91839
2020-04-01;72686.0;;420234;331545;145071;120101;94562
2020-04-02;70522.0;;418295;330055;145555;122699;92452
2020-04-03;67820.0;51944.0;386077;341867;146697;118477;82096
2020-04-04;68439.0;50954.0;389971;354525;153796;121272;78734
2020-04-05;59491.0;55261.0;358425;316920;141192;112349;77262
2020-04-06;46756.0;62670.0;374339;315476;143203;115654;81649
2020-04-07;46131.0;68688.0;386811;324139;143663;122334;82225
2020-04-08;44664.0;82320.0;399868;329533;149665;124662;85470
2020-04-09;44526.0;73002.0;366067;312717;142573;118704;80402
2020-04-10;40583.0;73017.0;358267;299797;138482;115833;78484
2020-04-11;40975.0;72967.0;363280;304651;142398;116892;79833
2020-04-12;38542.0;71409.0;332475;281311;130215;112349;75774
2020-04-13;33520.0;77275.0;340448;266572;119851;112760;70660
2020-04-14;;94856.0;358062;272091;114069;118370;63840
2020-04-15;;86189.0;346438;262950;109137;114130;61793
2020-04-16;;86836.0;346027;274014;109853;118687;62050
2020-04-17;;93951.0;340369;275965;104767;116485;61384
2020-04-18;;101647.0;330362;281421;106470;119073;59748
2020-04-19;;94606.0;289886;242990;91970;108947;55950
2020-04-20;;95417.0;315045;256795;96391;114300;58432
2020-04-21;;85367.0;298754;239390;89304;106650;56363
2020-04-22;;82569.0;309683;250899;89041;111846;58575
2020-04-23;;88985.0;308261;256362;89439;114207;57925
2020-04-24;;82718.0;312630;272842;96636;115224;53780
2020-04-25;;83550.0;299385;272145;95334;111762;51731
2020-04-26;;72909.0;268964;234577;83953;101860;48120
2020-04-27;;64599.0;265045;220265;81046;104091;49006
