Position,Track Name,Artist,Streams,date,region,spotify_id
1,Tusa,KAROL G,446086,2020-03-14,es,7k4t7uLgtOxPwTpFmtJNTY
2,La Difícil,Bad Bunny,399788,2020-03-14,es,6NfrH0ANGmgBXyxgV2PeXt
3,Tattoo,Rauw Alejandro,380503,2020-03-14,es,7na7Bk98usp84FaOJFPv3d
4,Diosa,Myke Towers,336910,2020-03-14,es,3JHpk0DOTOzyh0777JFAky
5,Rojo,J Balvin,327388,2020-03-14,es,4uziEsK1yiqdauKVDPsmVG
6,Ignorantes,Bad Bunny,295813,2020-03-14,es,38RIEav39FGi86jppxO0du
7,Keii,Anuel AA,287085,2020-03-14,es,5eEQCfq7MXQr6aHLNRUZLs
8,Morado,J Balvin,277631,2020-03-14,es,3mQ6SLdxxaL52Yte7KF2Ks
9,Medusa,Jhay Cortez,273669,2020-03-14,es,3qM0vBxIe4VUbK0Z0smuVP
10,Safaera,Bad Bunny,242696,2020-03-14,es,2DEZmgHKAvm41k4J3R2E9Y
11,La Santa,Bad Bunny,208170,2020-03-14,es,69vlMrzHwATKzupwNcUPyK
12,Me Gusta,Shakira,203951,2020-03-14,es,5Xhqh4lwJPtMUTsdBztN1a
13,Si Veo a Tu Mamá,Bad Bunny,202328,2020-03-14,es,41wtwzCZkXwpnakmwJ239F
14,Se iluminaba,Fred De Palma,200022,2020-03-14,es,3VPOZWtj8mM89IiRNygxgS
15,Fantasias - Remix,Rauw Alejandro,185269,2020-03-14,es,0A37XY67wSdGqkGjtfW6aV
16,Pegamos Tela,Lérica,179400,2020-03-14,es,4punHldq7Jfx0Plu7SdjQ0
17,Dance Monkey,Tones And I,172991,2020-03-14,es,1rgnBhdG2JDFTbYkYRZAku
18,Vete,Bad Bunny,172847,2020-03-14,es,2n7ohqg1s68ToAHh4u9mcW
19,Prendio (Remix),Rvfv,172434,2020-03-14,es,17VsiwLi1ovKYdVUqDieGC
20,Alocao (With Bad Gyal),Omar Montes,162774,2020-03-14,es,6RyuoOJXNzlVWpfC5xQyeI
21,Muévelo,Nicky Jam,159253,2020-03-14,es,4VgYtXCVJ7IbWAZ5ryfvEQ
22,Hola - Remix,Dalex,151442,2020-03-14,es,5stPVcRqb4qixbafP9e8lt
23,Ahora Dice Que Me Ama,Bandaga,146525,2020-03-14,es,2Z3RqW9jfl62il0R4q8wQy
24,Está Cabrón Ser Yo,Bad Bunny,145959,2020-03-14,es,4saHEjXw7O1NXJOzBkUKKG
25,Sigues Con El,Dimelo Flow,140515,2020-03-14,es,7sQKy5vlPQllr0k9IjYJv3
26,Malibú con Piña,Funzo & Baby Loud,137156,2020-03-14,es,4T7SpjqFNSpfdAsN66DkiE
27,Indeciso,Reik,134609,2020-03-14,es,59s0s39NFWScuHDbHytI14
28,+,Aitana,133834,2020-03-14,es,5Cbo7oz78gqkzV3EAM63VA
29,Blanco,J Balvin,129339,2020-03-14,es,2rc7BkzO8qepMFAxHtOrXc
30,Si por mi fuera,Beret,125510,2020-03-14,es,3W87IIdSOE63W0Qyhy7r2b
31,Pero Ya No,Bad Bunny,125062,2020-03-14,es,75pQqzwgCjUOSSy5CpmAjy
32,China,Anuel AA,124558,2020-03-14,es,2ksOAxtIxY8yElEWw8RhgK
33,25/8,Bad Bunny,124009,2020-03-14,es,4NqQaovM14WR2hNPMFxgjb
34,Yo Perreo Sola,Bad Bunny,122286,2020-03-14,es,0SqqAgdovOE24BzxIClpjw
35,RITMO (Bad Boys For Life),Black Eyed Peas,120359,2020-03-14,es,6cy3ki60hLwimwIje7tALf
36,Rutina,Myke Towers,117086,2020-03-14,es,3YntiCUU0Xqq0B68FM3YAt
37,Whine Up,Nicky Jam,115980,2020-03-14,es,2pWOMNQJW3g2zmGjP0Vkb0
38,Una Mala (Remix),El Completo Rd,110401,2020-03-14,es,2maGaB3fNqQnyrG3FDiaW3
39,Fuera De Mi Mente,Lérica,109356,2020-03-14,es,7bsqRe39lKOYX45FZpzP9o
40,Blinding Lights,The Weeknd,108547,2020-03-14,es,0sf12qNH5qcw8qpgymFOqD
41,Como Panas,Bryant Myers,106404,2020-03-14,es,07MrcfLozSPBfEI8GPOZgc
42,Easy - Remix,Jhay Cortez,105555,2020-03-14,es,1NmQc6rwLv7g0UHL1AFOa9
43,Don't Start Now,Dua Lipa,104843,2020-03-14,es,6WrI0LAC5M1Rw2MnX2ZvEg
44,Girl,Myke Towers,103411,2020-03-14,es,43NqTeL8pgBxKHPMiJKUP5
45,Hablamos Mañana,Bad Bunny,101216,2020-03-14,es,1V8XneTrX6kKeoxYbk4x6h
46,Aventura,Lunay,100394,2020-03-14,es,37zdqI4r1gswIzczSBkRon
47,Bichiyal,Bad Bunny,92990,2020-03-14,es,4j4w4CXm6BSr0s25wAWrrX
48,Dónde Estás,KHEA,91643,2020-03-14,es,16DNJ8y6k97DxuMyV49W7V
49,A Tu Merced,Bad Bunny,90431,2020-03-14,es,4r9jkMEnArtWGH2rL2FZl0
50,Que Malo,Bad Bunny,88169,2020-03-14,es,53v2u51nq3CxiKUNphRzP1
51,Como vas?,Kidd Keo,87378,2020-03-14,es,77E6BhaBLsIMmW5nAyXGTy
52,Quédate conmigo,Pole.,86676,2020-03-14,es,3T1egHTtRtYoal4SPUJAAe
53,Zorra,Bad Gyal,84981,2020-03-14,es,0OP1RzrglC008kj79Httv3
54,<3,Bad Bunny,84963,2020-03-14,es,4MZSqgwlE71CWZ6qQ3gkKm
55,Coronao Now (Remix),El Alfa,82448,2020-03-14,es,047WmwIeerHyIUstFAEz5A
56,Suave - Remix,Jey Blessing,82267,2020-03-14,es,6K7V47wFpfam2aeE893rbL
57,René,Residente,80909,2020-03-14,es,6gm12xlADJwiBbHIKBXzGW
58,The Box,Roddy Ricch,76931,2020-03-14,es,0nbXyq5TXYPCO7pr3N8S4I
59,Ella No Quiere Rosé,Rvfv,76021,2020-03-14,es,6Aqeqb9rVNA1U6zuuxczQZ
60,"Yo x Ti, Tu x Mi",ROSALÍA,73636,2020-03-14,es,7BlBVFwvbWvcwNcUarQmjk
61,Perreo en La Luna,Rich Music LTD,73118,2020-03-14,es,0RDgqtvOHLwcI6yz9bjsZV
62,Fantasias,Rauw Alejandro,72989,2020-03-14,es,6mAN61JH0dzyZpWslS11jy
63,Te Quemaste,Manuel Turizo,72713,2020-03-14,es,4fj7e6Tc48Bmomwyz2Z2XC
64,Relación Rota,Myke Towers,72479,2020-03-14,es,5RClLxkUvnMWFUQ3VAQEHj
65,Soliá,Bad Bunny,72232,2020-03-14,es,7sOfmPd18RWp3FoCzpa7Kw
66,La Zona,Bad Bunny,72177,2020-03-14,es,5kqNIqFjijuzvVLhuY9B8j
67,Rueda,Chimbala,70216,2020-03-14,es,4NDHYPVJ5zLnR8yYZsMDsu
68,No Quiero Verte,Rvfv,70147,2020-03-14,es,4SPqRLaD6GI2ZdF8vyctsz
69,Ronca,Myke Towers,69972,2020-03-14,es,0WxhO7pvOWqFJRMBQ3q3B2
70,Pa Los Gustos Los Colores,Javiielo,69670,2020-03-14,es,6EWWkqE4aFlZRyoFwwOT8u
71,Indios y Vaqueros,Sinsinati,69617,2020-03-14,es,3u5GmyJP2MU3tEJgyiAG2T
72,Fantasía,Ozuna,68169,2020-03-14,es,40rXWke6SnXiGkSmaT8ZUr
73,Soldadito de Hierro,Nil Moliner,67704,2020-03-14,es,1wWSi1N5mBif8926JR78Ju
74,A Dónde Vamos,Morat,67172,2020-03-14,es,671sG3ETDxC3L6qcGIrHRM
75,Presiento,Morat,65750,2020-03-14,es,2V4hc5gplg7EXlrRUvD4rp
76,TBT,Sebastian Yatra,65464,2020-03-14,es,4s45VgkknMFkdiGoUcjxQU
77,Callaita,Bad Bunny,65271,2020-03-14,es,2TH65lNHgvLxCKXM3apjxI
78,Contando Lunares (feat. Cruz Cafuné),Don Patricio,64464,2020-03-14,es,6uW0PIRcyZLvkoonm763xD
79,Tabú,Pablo Alborán,64371,2020-03-14,es,471HeGJPKw07MObixON0Um
80,DOSIS,Dvicio,63816,2020-03-14,es,0cDumxvNKhydP1Cmon2S6E
81,No Me Conoce - Remix,Jhay Cortez,63299,2020-03-14,es,4R8BJggjosTswLxtkw8V7P
82,ROXANNE,Arizona Zervas,63250,2020-03-14,es,696DnlkuDOXcMAnKlTgXXK
83,De Tranquilote,Danny Romero,63241,2020-03-14,es,1IDFcb3cjkj2dhv3UaxX9b
84,B11 (feat. Myke Towers),Rvssian,63158,2020-03-14,es,4o1DxRjMCHDwBiOKv88rOl
85,Más y Más,Omar Montes,63144,2020-03-14,es,4i0sSXYpBLMnhHc7jnI5v2
86,Puesto Pa' Guerrial,Bad Bunny,62304,2020-03-14,es,5gCg2qMPzKkW4jS4dBKdDs
87,P FKN R,Bad Bunny,62126,2020-03-14,es,0fgsKar6uBO08vzHXkTjWi
88,Definitivamente,Daddy Yankee,61912,2020-03-14,es,113PlnpZbHd3WIqeYjhZWv
89,Memories,Maroon 5,61529,2020-03-14,es,2b8fOow8UzyDFAE27YhOZM
90,La Rubia - Remix 2,La Nueva Escuela,61243,2020-03-14,es,7KKTnv81z6DmfPIGsZWjOW
91,Qué Bonito Es Querer,Manuel Carrasco,60573,2020-03-14,es,6uzGmmQ4CuG9HvZktEy0LF
92,Señorita,Shawn Mendes,58983,2020-03-14,es,6v3KW9xbzN5yKLt9YKDYA2
93,bad guy,Billie Eilish,58010,2020-03-14,es,2Fxmhks0bxGSBdJ92vM42m
94,Una Vez,Bad Bunny,57706,2020-03-14,es,5J7teKIJGtqVypgYI6sqXj
95,Viene y Va,C. Tangana,55788,2020-03-14,es,1UozIJsPRJVXDRG08AgUQP
96,Adicto (with Anuel AA & Ozuna),Tainy,55727,2020-03-14,es,3jbT1Y5MoPwEIpZndDDwVq
97,La Pared 360,Lenny Tavárez,55204,2020-03-14,es,2w8SKQCnT2YQK1qCqKl2uW
98,Hasta Que Salga el Sol,Ozuna,54997,2020-03-14,es,0dDboLfmRNsTBscy4j3Rnl
99,Con Altura,ROSALÍA,54824,2020-03-14,es,2qG5sZ7Si6sdK74qLxedYM
100,Tutu,Camilo,54615,2020-03-14,es,1nocRtwyNPVtGcIJqfgdzZ
101,Gentleman,Cepeda,53565,2020-03-14,es,3Q797tkAExVmmJjEDNNLns
102,Mil Tequilas,Chema Rivas,52688,2020-03-14,es,4QPLtCSQh10inI5iwUoG2p
103,Mejor,Dalex,52405,2020-03-14,es,1mF6sMUsRU9MisrdB9qWvg
104,Atrevido,Trueno,52107,2020-03-14,es,49rFA0vfmY9Eel2cInKmTk
105,LA CANCIÓN,J Balvin,51460,2020-03-14,es,0fea68AdmYNygeTGI4RC18
106,Yummy,Justin Bieber,50770,2020-03-14,es,16wAOAZ2OkqoIDN7TpChjR
107,Perfume,Dalex,50273,2020-03-14,es,2r5AwzCIgWw57ZYXuSIji6
108,Goteo,Duki,49712,2020-03-14,es,57kdZIOAaolxAjB67d2yU3
109,Jangueo,Alex Rose,48967,2020-03-14,es,5m3jpKkgkfoMcym1qjToFg
110,4K,El Alfa,48582,2020-03-14,es,4xI3U4sDj1TPmO9Iz5TkYp
111,Someone You Loved,Lewis Capaldi,48396,2020-03-14,es,7qEHsqek33rTcFNT9PFqLf
112,Otro Trago - Remix,Sech,48377,2020-03-14,es,4bTZeO72FwMa6wKOiqoynL
113,MALA SANTA,Becky G,48335,2020-03-14,es,5e50NiIlOc2YJIftHzoehd
114,Soltera - Remix,Lunay,48215,2020-03-14,es,4t9a07PAghtQMRAIP9FQ7Z
115,Sueño (con Pablo Alborán),Beret,48086,2020-03-14,es,71M1szVbVYZM5M6QlIm6aC
116,Me Equivocaré,Antonio José,47730,2020-03-14,es,5zsvrbPy4w9nz067ViWprz
117,Baila Conmigo (feat. Kelly Ruiz),Dayvi,47497,2020-03-14,es,4Clmg1g8n2yBYG13Z1oSdG
118,Falling,Trevor Daniel,47357,2020-03-14,es,4TnjEaWOeW0eKTKIEvJyCa
119,Coronao Now,El Alfa,46740,2020-03-14,es,7FbKipScVxkjQxQXwTd0gL
120,Atrévete,Yago Roche,46698,2020-03-14,es,07Lxxln9lZ8m0hT6EySTCe
121,Si Te Vas,Sech,46613,2020-03-14,es,6Y4PDQv4XjYjHLeLmvyOt0
122,Disparos,Dani Fernández,45949,2020-03-14,es,2F75mXaavRl0hm3rtM15cq
123,Calma - Remix,Pedro Capó,45912,2020-03-14,es,5iwz1NiezX7WWjnCgY5TH4
124,Con Calma,Daddy Yankee,45724,2020-03-14,es,5w9c2J52mkdntKOmRLeM2m
125,Cuando Quieras,Rels B,45372,2020-03-14,es,1QBmYURvVM6Ai7y7yo9Dvx
126,Que Viene el Álbum (Freestyle),Morad,45030,2020-03-14,es,3bfUya6pPJwpv5D2xQvUye
127,Physical,Dua Lipa,44962,2020-03-14,es,5px6upUHM3fhOP621Edp4V
128,Una Foto en Blanco y Negro,David Otero,44859,2020-03-14,es,4BNqM0h2wukiQkAUKZjurV
129,Gitana (feat. Sergio Contreras y Demarco Flamenco),Rasel,44651,2020-03-14,es,0WA73uP8IO1rczj8FFJzRg
130,MONEY TILL I DIE,Kidd Keo,44607,2020-03-14,es,1MMhI6ISQt0UOVtU6DoAtE
131,Que Tire Pa Lante,Daddy Yankee,44420,2020-03-14,es,6RyaV7owmVU6fzEPE17sF1
132,Say So,Doja Cat,44394,2020-03-14,es,3Dv1eDb0MEgF93GpLXlucZ
133,Me Quedo,Aitana,44270,2020-03-14,es,6Nqi1fWKYXrVXmF3RtQbSf
134,Despacio,Natti Natasha,43706,2020-03-14,es,203uubEQA07to1kbro35qQ
135,Lo siento,Beret,42956,2020-03-14,es,5o2M4yHxo9kyNLdgihFeV1
136,Bésame,David Bisbal,42567,2020-03-14,es,7kcSKOl5rR4zGxFNYhkeRX
137,Ojitos,Bryant Myers,41817,2020-03-14,es,6mRO59X63upZzN5RVw5wNz
138,Que Calor (with J Balvin & El Alfa),Major Lazer,41652,2020-03-14,es,1G2CAJeP7rCwOZjlSJ0Zw3
139,Prendío,Rvfv,41025,2020-03-14,es,1pUq8PePQRODKRKwY2nvC8
140,PORFA,Feid,40575,2020-03-14,es,3iQOfefMGDVDwo8dZoco8T
141,Con La Miel En Los Labios,Aitana,40523,2020-03-14,es,2QJcrJNa4KGxQ6bw0MH3Zx
142,No Vuelvas Más,Darell,40492,2020-03-14,es,0mcBgVRVsvESTkEyVHt7Ue
143,"DANI: Bzrp Music Sessions, Vol. 24",Bizarrap,40382,2020-03-14,es,6TNuRFdNazLbbVQTRE8pZg
